2025-06-26 19:00:44,973 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 127.0.0.1 | User-Agent: PostmanRuntime/7.37.3
2025-07-08 12:46:05,375 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-08 12:46:05,836 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-08 13:11:34,506 | WARNING | legal_backend.auth | LOGIN_FAILED | Email: admin@test.com | IP: 127.0.0.1 | Error: {'non_field_errors': [ErrorDetail(string='Unable to log in with provided credentials.', code='authorization')]} | User-Agent: unknown
2025-07-08 13:11:34,810 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-08 13:11:35,280 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-08 13:48:23,429 | WARNING | legal_backend.auth | LOGIN_FAILED | Email: admin@test.com | IP: 127.0.0.1 | Error: {'non_field_errors': [ErrorDetail(string='Unable to log in with provided credentials.', code='authorization')]} | User-Agent: unknown
2025-07-08 13:48:23,825 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-08 13:48:24,413 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-08 15:23:12,264 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 172.23.0.1 | User-Agent: curl/7.84.0
2025-07-08 15:24:11,467 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 172.23.0.1 | User-Agent: curl/7.84.0
2025-07-08 15:25:19,796 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 172.23.0.1 | User-Agent: PostmanRuntime/7.37.3
2025-07-09 08:31:17,640 | WARNING | legal_backend.auth | LOGIN_FAILED | Email: admin@test.com | IP: 127.0.0.1 | Error: {'non_field_errors': [ErrorDetail(string='Unable to log in with provided credentials.', code='authorization')]} | User-Agent: unknown
2025-07-09 08:31:17,918 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-09 08:31:18,391 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-14 15:59:10,746 | WARNING | legal_backend.auth | LOGIN_FAILED | Email: admin@test.com | IP: 127.0.0.1 | Error: {'non_field_errors': [ErrorDetail(string='Unable to log in with provided credentials.', code='authorization')]} | User-Agent: unknown
2025-07-14 15:59:11,156 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-14 15:59:11,871 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-14 16:14:45,887 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.0.1 | User-Agent: PostmanRuntime/7.37.3
2025-07-14 16:16:11,786 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.0.1 | User-Agent: PostmanRuntime/7.37.3
2025-07-14 16:34:44,652 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.0.1 | User-Agent: curl/7.84.0
2025-07-14 16:40:06,760 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.0.1 | User-Agent: PostmanRuntime/7.37.3
2025-07-14 16:42:01,916 | WARNING | legal_backend.auth | LOGIN_FAILED | Email: admin@test.com | IP: 127.0.0.1 | Error: {'non_field_errors': [ErrorDetail(string='Unable to log in with provided credentials.', code='authorization')]} | User-Agent: unknown
2025-07-14 16:42:02,431 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-14 16:42:03,413 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-14 16:49:11,997 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.16.1 | User-Agent: curl/7.84.0
2025-07-14 16:56:06,173 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.16.1 | User-Agent: curl/7.84.0
2025-07-14 16:56:24,497 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.16.1 | User-Agent: curl/7.84.0
2025-07-14 16:57:08,334 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.16.1 | User-Agent: curl/7.84.0
2025-07-14 17:04:41,941 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 127.0.0.1 | User-Agent: curl/7.88.1
2025-07-14 17:12:52,618 | WARNING | legal_backend.auth | LOGIN_FAILED | Email: admin@test.com | IP: 127.0.0.1 | Error: {'non_field_errors': [ErrorDetail(string='Unable to log in with provided credentials.', code='authorization')]} | User-Agent: unknown
2025-07-14 17:12:53,025 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-14 17:12:53,732 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-14 18:03:18,624 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 192.168.16.1 | User-Agent: PostmanRuntime/7.37.3
2025-07-15 06:48:47,569 | WARNING | legal_backend.auth | LOGIN_FAILED | Email: admin@test.com | IP: 127.0.0.1 | Error: {'non_field_errors': [ErrorDetail(string='Unable to log in with provided credentials.', code='authorization')]} | User-Agent: unknown
2025-07-15 06:48:47,986 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: admin@test.com | Role: admin | IP: 127.0.0.1 | User-Agent: unknown
2025-07-15 06:48:48,704 | INFO | legal_backend.auth | USER_CREATED | New User: new@test.com | Role: lawyer | Created By: admin@test.com | IP: 127.0.0.1
2025-07-15 07:50:10,214 | INFO | legal_backend.auth | LOGIN_SUCCESS | User: sarah.wilson@lawfirm.com | Role: admin | IP: 127.0.0.1 | User-Agent: curl/7.88.1
